CandidateID,Candidate,Contributor Type,Total Contributions,Number of Contributions
7,Analilia Mejia,CAMPAIGN COMMITTEE,10500,6
7,Analilia Mejia,CANDIDATE,7000,2
7,Analilia Mejia,INDIVIDUAL,485591,971
7,Analilia Mejia,ORGANIZATION,487031,961
7,Analilia Mejia,OTHER COMMITTEE,4100,4
7,Analilia Mejia,PAC,148000,41
3,George Latimer,CAMPAIGN COMMITTEE,2000,1
3,George Latimer,INDIVIDUAL,227332,536
3,George Latimer,ORGANIZATION,144903,468
3,George Latimer,OTHER COMMITTEE,1650,4
3,George Latimer,PAC,242360,152
6,Joe Hathaway,CAMPAIGN COMMITTEE,16375,32
6,Joe Hathaway,INDIVIDUAL,443574,445
6,Joe Hathaway,ORGANIZATION,367993,384
6,Joe Hathaway,PAC,12400,4
8,Joseph Lewis,CANDIDATE,100000,1
8,Joseph Lewis,INDIVIDUAL,1250,4
5,Justin Strickland,CANDIDATE,46732,93
5,Justin Strickland,INDIVIDUAL,37484,52
4,Lamonica McIver,CAMPAIGN COMMITTEE,51100,39
4,Lamonica McIver,INDIVIDUAL,308474,932
4,Lamonica McIver,ORGANIZATION,14813,25
4,Lamonica McIver,OTHER COMMITTEE,3000,2
4,Lamonica McIver,PAC,1501937,1064
2,Rob Menendez (Congress),CAMPAIGN COMMITTEE,8500,5
2,Rob Menendez (Congress),INDIVIDUAL,851440,697
2,Rob Menendez (Congress),ORGANIZATION,521628,430
2,Rob Menendez (Congress),PAC,813453,521
1,Rob Menendez (Senate),ORGANIZATION,16662,19
