CandidateID,Candidate,Contributor Name,Total Contributions
3,Wilson Terrero,M.S.Y. Group Inc.,1500.0
3,Wilson Terrero,D2G Realty Llc,500.0
3,Wilson Terrero,Ferro Enterprises,500.0
3,Wilson Terrero,The Preferred Group,500.0
3,Wilson Terrero,Uniformed Fire Officers Association Pac,350.0
3,Wilson Terrero,"Photo Estudio Sol, Corp",200.0
3,Wilson Terrero,Mayo Import And Export Inc,150.0
4,Andrea Stewart Cousins,Leav And Steinberg,3000.0
4,Andrea Stewart Cousins,Whiteman Osterman And Hanna Llp,1500.0
4,Andrea Stewart Cousins,Deloite Services Lp,1250.0
4,Andrea Stewart Cousins,Ernst & Young Us Llp,1250.0
4,Andrea Stewart Cousins,Kpmg Llp,1250.0
4,Andrea Stewart Cousins,Pwc Us Group Llp,1250.0
4,Andrea Stewart Cousins,American Global Llc,1000.0
4,Andrea Stewart Cousins,"Fbg Enterprises Opco, Llc",1000.0
4,Andrea Stewart Cousins,Featherstonhaugh Clyne Mccardle Llp,1000.0
4,Andrea Stewart Cousins,Manatt Phelps And Phillips Llp,1000.0
4,Andrea Stewart Cousins,Rosetti Government Relations Llc,1000.0
4,Andrea Stewart Cousins,Barrett Associates,500.0
4,Andrea Stewart Cousins,O'Neill Concessions Mobile Llc,500.0
5,Anthony Merante,"Murtagh, Cossu, Venditti & Castro-Blanco",500.0
5,Anthony Merante,96-98 Lockwood Realty Llc,150.0
5,Anthony Merante,New Logical Llc,75.0
6,Frank Jereis,Delbello Donnellan Weingarten Wise & Wie,500.0
6,Frank Jereis,Mt. Ivy Prime Realty Llc,500.0
6,Frank Jereis,Abdul And Sons Contruction Co Llc,250.0
6,Frank Jereis,"Abrams Fensterman, Llp",250.0
6,Frank Jereis,Ps&S Llc,250.0
6,Frank Jereis,"The Law Offices Of Matthew Aqeel, Esq.,",250.0
6,Frank Jereis,Willett Public Affairs,250.0
