CandidateID,Candidate,Contributor Location,Amount
1,Anthony Nicodemo (D),In-state,23522.26
1,Anthony Nicodemo (D),Out-of-state,1400.0
1,Anthony Nicodemo (D),Undisclosed,4048.78
2,James Nolan (C),In-state,67020.84
2,James Nolan (C),Out-of-state,265.0
2,James Nolan (C),Undisclosed,500.0
3,Kisha Skipper (D),In-state,849.0
3,Kisha Skipper (D),Out-of-state,100.0
4,Daniel Damico (C),In-state,4923.2
4,Daniel Damico (C),Out-of-state,430.0
4,Daniel Damico (C),Undisclosed,270.0
5,Shanae Williams (D),In-state,49833.0
5,Shanae Williams (D),Out-of-state,1434.0
5,Shanae Williams (D),Undisclosed,44.58
6,Leslye Oquendo-Thomas (D),In-state,30183.26
6,Leslye Oquendo-Thomas (D),Out-of-state,4036.0
6,Leslye Oquendo-Thomas (D),Undisclosed,1454.0
7,Wilson Terrero (D),In-state,59908.99
7,Wilson Terrero (D),Out-of-state,1599.0
8,Andrea Stewart-Cousins (D),In-state,622136.0
8,Andrea Stewart-Cousins (D),Out-of-state,128308.0
9,Anthony Merante (R),In-state,60549.26
9,Anthony Merante (R),Out-of-state,1625.0
10,Khristen M. Kerr (C),In-state,659.0
11,Shelley Mayer (D),In-state,460645.56
11,Shelley Mayer (D),Out-of-state,27375.0
11,Shelley Mayer (D),Undisclosed,2737.0
13,Frank Jereis (D),In-state,141198.0
13,Frank Jereis (D),Out-of-state,6120.0
14,Jeannette Garcia (D),In-state,32048.0
14,Jeannette Garcia (D),Out-of-state,3660.0
15,John Isaac (R),In-state,11692.79
15,John Isaac (R),Out-of-state,1095.0
