CandidateID,Candidate,Contributor Name,Total Contributions
1,Anthony Nicodemo (D),United Federation Of Teachers Cope,300.0
2,James Nolan (C),Westchester County Police Pba,1600.0
2,James Nolan (C),White Plains Firefighters Pac Fund,1500.0
2,James Nolan (C),Stars & Stripes Pac,850.0
2,James Nolan (C),Police Captains Lieutenants Assoc Of Yo,600.0
2,James Nolan (C),Westchester County Pba,500.0
2,James Nolan (C),"Tile,Marble&Terrazzo Local #7 Pac Fund",500.0
2,James Nolan (C),Police Association Of Yonkers Inc,500.0
2,James Nolan (C),Nasrcc Political Education Committee Pac,500.0
2,James Nolan (C),Metallic Lathers & Reinforce Iron Worker,500.0
2,James Nolan (C),Westchester & Putnam Right To Life Pac,250.0
2,James Nolan (C),Laborers Local 60 Pac Fund,250.0
4,Daniel Damico (C),Rpac Of Nys,192.0
5,Shanae Williams (D),Stars & Stripes Pac,1106.0
5,Shanae Williams (D),Economic Initiatives Pac,1000.0
5,Shanae Williams (D),1199 Seiu- Nys Political Action Fund,1000.0
5,Shanae Williams (D),Wccft Vote Cope,250.0
5,Shanae Williams (D),Seiu Local 704,250.0
6,Leslye Oquendo-Thomas (D),1199 Seiu - Nys Political Action Fund,1000.0
6,Leslye Oquendo-Thomas (D),Eleanor'S Legacy,250.0
7,Wilson Terrero (D),Mediterranean Peoples And Communities,1000.0
7,Wilson Terrero (D),Uniformed Fire Officers Association Pac,600.0
7,Wilson Terrero (D),Economic Initiatives Pac,500.0
7,Wilson Terrero (D),Police Association Of Yonkers. Inc.,250.0
8,Andrea Stewart-Cousins (D),Nasrcc Political Education Committee,10000.0
8,Andrea Stewart-Cousins (D),1199 Seiu Nys Pac,10000.0
8,Andrea Stewart-Cousins (D),New York State Professional Fire Fighter,6000.0
8,Andrea Stewart-Cousins (D),Int Brotherhood Of Teamsters 456 ...Pac,6000.0
8,Andrea Stewart-Cousins (D),Construction Industry Council Nys Pac,6000.0
8,Andrea Stewart-Cousins (D),Bricklayers And Allied Craftworkers Pac,6000.0
8,Andrea Stewart-Cousins (D),Vote-Cope Of The Nys United Teachers,5000.0
8,Andrea Stewart-Cousins (D),Subcontractors Trade Association - Pac,5000.0
8,Andrea Stewart-Cousins (D),Property Tax Fairness Pac,5000.0
8,Andrea Stewart-Cousins (D),Peckham Industries Inc Pac,5000.0
8,Andrea Stewart-Cousins (D),Pba Of The City Of Ny Pac,5000.0
8,Andrea Stewart-Cousins (D),Pba Benevolent Assoc Of The City Of Ny P,5000.0
8,Andrea Stewart-Cousins (D),Nysfda-Pac,5000.0
8,Andrea Stewart-Cousins (D),Nys Dental Association Pac,5000.0
8,Andrea Stewart-Cousins (D),Ny Anesthesiologists Pac,5000.0
8,Andrea Stewart-Cousins (D),New Yorkers For Local Businesses,5000.0
8,Andrea Stewart-Cousins (D),New York State Afl-Cio Cope,5000.0
8,Andrea Stewart-Cousins (D),Mason Tenders District Council ..Pac,5000.0
8,Andrea Stewart-Cousins (D),Manhattan Beer Distribution LLC Nys Pac,5000.0
8,Andrea Stewart-Cousins (D),Laborers Local 60 Pac Fund,5000.0
8,Andrea Stewart-Cousins (D),Gm Pac,5000.0
8,Andrea Stewart-Cousins (D),"Enterprise Holdings, Inc Pac",5000.0
8,Andrea Stewart-Cousins (D),Cse Political Action Fund,5000.0
8,Andrea Stewart-Cousins (D),Charter Communications Pac,5000.0
8,Andrea Stewart-Cousins (D),Caipa Pac,5000.0
8,Andrea Stewart-Cousins (D),Building & Construction Trades Pac,5000.0
8,Andrea Stewart-Cousins (D),Automobile Dealers Of Ny Pac,5000.0
8,Andrea Stewart-Cousins (D),Anthem Health Pac,5000.0
8,Andrea Stewart-Cousins (D),Unyan Pac,4000.0
8,Andrea Stewart-Cousins (D),Shenker Russo And Clark LLP Pac,4000.0
8,Andrea Stewart-Cousins (D),Rpac Of New York State,4000.0
8,Andrea Stewart-Cousins (D),"Port Authority Pba Inc, Ny Pac",4000.0
8,Andrea Stewart-Cousins (D),Nysana-Crna Pac,4000.0
8,Andrea Stewart-Cousins (D),Corrections Officers Benevolent Assoc Pa,4000.0
8,Andrea Stewart-Cousins (D),Acecny Pac,4000.0
8,Andrea Stewart-Cousins (D),United For Health Pac,3500.0
8,Andrea Stewart-Cousins (D),Suffolk County Corrections Officers Pac,3500.0
8,Andrea Stewart-Cousins (D),New York Bankers Pac,3500.0
8,Andrea Stewart-Cousins (D),District Council 37 Pac,3500.0
8,Andrea Stewart-Cousins (D),Allied Building Inspectors Local 211 Pac,3500.0
8,Andrea Stewart-Cousins (D),State Street Associates Pac,3000.0
8,Andrea Stewart-Cousins (D),Sch Pac,3000.0
8,Andrea Stewart-Cousins (D),Nys Society Of Pas Pac,3000.0
8,Andrea Stewart-Cousins (D),Laborers Local No 754 Lpa Committee Pac,3000.0
8,Andrea Stewart-Cousins (D),Hanys Pac,3000.0
8,Andrea Stewart-Cousins (D),Greenberg Traurig Pac,3000.0
8,Andrea Stewart-Cousins (D),Aia Nysapac,3000.0
8,Andrea Stewart-Cousins (D),Ny State Beer Wholesalers Assoc Pac,2500.0
8,Andrea Stewart-Cousins (D),Laborers Local 17 Pac,2500.0
8,Andrea Stewart-Cousins (D),Greater Ny Auto Dealers Assoc Inc Pac,2500.0
8,Andrea Stewart-Cousins (D),Great Public Schools Pac,2500.0
8,Andrea Stewart-Cousins (D),Focus Ny Pac,2500.0
8,Andrea Stewart-Cousins (D),Democrats For Reform,2500.0
8,Andrea Stewart-Cousins (D),Citigroup Inc Pac,2500.0
8,Andrea Stewart-Cousins (D),Uniformed Fire Officers Asdsociation Pac,2000.0
8,Andrea Stewart-Cousins (D),Transit Supervisors Org Pac,2000.0
8,Andrea Stewart-Cousins (D),Theatrical Teamsters Local 817 Pac,2000.0
8,Andrea Stewart-Cousins (D),The Life Insurance Council Of Ny Pac,2000.0
8,Andrea Stewart-Cousins (D),Tenants Pac,2000.0
8,Andrea Stewart-Cousins (D),Studio Mechanics Local 52 Pac,2000.0
8,Andrea Stewart-Cousins (D),Rocket State Pac,2000.0
8,Andrea Stewart-Cousins (D),Public Employees Federation,2000.0
8,Andrea Stewart-Cousins (D),Police Conference Of Ny Pac,2000.0
8,Andrea Stewart-Cousins (D),Police Benevolent Assoc Mta Pba Pac,2000.0
8,Andrea Stewart-Cousins (D),Pharmacists Society Of The State Of Ny,2000.0
8,Andrea Stewart-Cousins (D),Nys Radiologists Pac,2000.0
8,Andrea Stewart-Cousins (D),Nys Pscchiatric Pac,2000.0
8,Andrea Stewart-Cousins (D),Nype Pac,2000.0
8,Andrea Stewart-Cousins (D),Nurse Practitioners Of Nys Pac,2000.0
8,Andrea Stewart-Cousins (D),New York Thoroughbred Horsemens Assoc,2000.0
8,Andrea Stewart-Cousins (D),New York Retailers For Effective Governm,2000.0
8,Andrea Stewart-Cousins (D),New York Insurance Assoc Pac,2000.0
8,Andrea Stewart-Cousins (D),Nassau County Police Ben Assoc Pac,2000.0
8,Andrea Stewart-Cousins (D),Merck New York Sate Pac,2000.0
8,Andrea Stewart-Cousins (D),Medical Society Of The State Of Ny Pac,2000.0
8,Andrea Stewart-Cousins (D),Ibew New York Pac,2000.0
8,Andrea Stewart-Cousins (D),Hsbc Technology And Services Pac,2000.0
8,Andrea Stewart-Cousins (D),Greenberg Traurig Pa Pac,2000.0
8,Andrea Stewart-Cousins (D),Atu New York Cope Fund,2000.0
8,Andrea Stewart-Cousins (D),Altice Usa New York Pac,2000.0
8,Andrea Stewart-Cousins (D),Academy Trial Lawyers Pac,2000.0
8,Andrea Stewart-Cousins (D),Jp Morgan And And Co Pac,1500.0
8,Andrea Stewart-Cousins (D),Iatse Local 600 Ny Pac,1500.0
8,Andrea Stewart-Cousins (D),Afscme,1500.0
