CandidateID,Candidate,Location,Office,Total Contributions
2,Thomas Fix Jr. (R),37th District,State Senate,0.0
1,Anthony Nicodemo (D),15th District,County Legislator,28971.0
2,James Nolan (C),15th District,County Legislator,67786.0
3,Kisha Skipper (D),15th District,County Legislator,949.0
4,Daniel Damico (C),16th District,County Legislator,5623.0
5,Shanae Williams (D),16th District,County Legislator,51312.0
6,Leslye Oquendo-Thomas (D),17th District,County Legislator,35673.0
7,Wilson Terrero (D),17th District,County Legislator,61508.0
8,Andrea Stewart-Cousins (D),35th District,State Senate,750444.0
9,Anthony Merante (R),35th District,State Senate,62174.0
10,Khristen M. Kerr (C),35th District,State Senate,659.0
11,Shelley Mayer (D),37th District,State Senate,490758.0
13,Frank Jereis (D),90th District,State Assembly,147318.0
14,Jeannette Garcia (D),90th District,State Assembly,35708.0
15,John Isaac (R),90th District,State Assembly,12788.0
